"rank","slug","source","n_jobs","top_titles","sample_description"
"2648","mcubesoft","linkedin","7","Wealth Management Business Data Analyst | Ruby on Rails Developer | Solar Winds Administrator/Solar Winds Engineer | Java Backend Developer (with GraphQL) | Sr DevOps Engineer","Job Title: SolarWinds AdministratorLocation: Remote W2 POSITION Desired Experience/Skills/Attributes:• Relevant experience of 8-10 years• Handson experience in managing, upgrading and administering a SolarWinds HCO setup• Hands on experience in integrating Solarwinds with ITSM tool like ServiceNow• Experience engineering/administering a wide variety of server infrastructures.• Experience administe"
"2649","mechanicallicensingcollective","greenhouse","7","Analytics & Automation Developer | Member Support Associate | Member Support, Team Lead | MLC Educator Ambassador (Volunteer Program for Academic Educators) | Royalty Data Temp","Are you interested in joining a purpose-driven company in the music industry? Do you thrive in a collaborative, hybrid work environment? If you do, we would like to get to know you. &nbsp; WORKING AT THE MLC The MLC is committed to excellence, service and transparency. Our culture is collaborative, and our team works in a hybrid environment. On our team, you are respected, valued for your unique s"
"2650","medicalinformaticsengineering","greenhouse","7","Chief Information Security Officer | Chief Technology Officer | Development Intern | Indianapolis AWS Devops Tech | Senior Full Stack Developer","Internship Description Medical Informatics Engineering seeks an intern with experience in software design, coding and debugging. The intern will gain exciting real-world software engineering experience at a thriving company. We frequently work in small teams to solve problems, explore new technologies, and learn from one another. The ideal intern for this environment will be enthusiastic and colla"
"2651","mediterranean-shipping-company-m-sdn-bhd","jobstreet","7","Trade Manager | Sales Executive / Senior Sales Executive | Import Sales Executive | Admin Assistant (Short Term Contract) | Trade Assistant (Short Term Contract)","[Category: Administration & Office Support / Administrative Assistants] RESPONSIBILITIES : Participate, contribute and drive all daily documentation activities. Responsible in handling of bill of lading. Maintain close communication with customers, overseas agent and attend to any enquiry, feedback or complaints on a timely and professional manner. Coordinating with inter-departments for documenta"
"2652","medraai","ashby","7","Tech Lead Manager - Full Stack | Designer | Scientist, Biology | Mechanical Engineer | Systems Test Engineer - Summer 2026 Internship","What We're Building: We have been quietly building the foundational layers of our Physical AI Scientist platform: 🤖 Physical AI that can operate scientific instruments with human-level dexterity. 🧪 Scientific AI that can analyze results, reason about next steps, and close the loop autonomously. This is an incredibly ambitious mission, but we believe that a team of ambitious people with high owners"
"2653","medrhythms","lever","7","Clinical Case Manager | Clinical Support Specialist | General Interest | Neurologic Music Therapist - Clinical Internship - Burke | Neurologic Music Therapist - Clinical Internship - Spaulding","NOTICE Please be aware that individuals have been receiving fraudulent interview and job offers from perpetrators seeking to acquire personal information. If you are asked to provide personal or financial information, pay a fee to apply for a position, accept an offer via email, text, or other messaging system, or if you are suspicious for other reasons that fraudulent activity may have occurred d"
"2654","medrio","greenhouse","7","Automation Engineer (Mid level SDET) | Product Operations Manager | Revenue Operations Specialist | Senior Site Reliability Engineer | Senior Software Developer","Job Summary :&nbsp; The incumbent will be responsible for developing and documenting&nbsp; Medrio’s SaaS offering platform and improving functionality and quality in all offerings. Essential Duties and Responsibilities: Implement functionality in the Medrio platform, in accordance with standards and operating procedures Contribute to quality assurance processes through activities such as functiona"
"2655","melilea-m-sdn-bhd","jobstreet","7","Personal Assistant to General Manager | Operation cum admin Assistant/Executive (Bangsar/Melaka) | Internship (Multiple location required) | Beauty Therapist | Operation Assistant (Melaka)","[Category: Human Resources & Recruitment / Consulting & Generalist HR] Job Responsibilities To handle payroll for every month. Maintaining employee files and HR filing systems. Recruitment task which include assign head hunters for recruitment eg: Jobstreet, Newspaper or other, arrange for interview & etc. To conduct employee orientation for the new employee. To record employee’s activity eg: over"
"2656","meo-design-studio","jobstreet","7","Business Analyst ( English, Chinese and Cantonese Speaking ) | HR Administrative ( Chinese Speaking ) | Technical Support Engineer | Software Quality Assurance Engineer | Software Project Executive","[Category: Information & Communication Technology / Testing & Quality Assurance] Job description What we offer Profit sharing plan for staff with outstanding performance and joining 3+ years Opportunity for professional growth Work with International Enterprise and Startups Job Highlights Comfortable working environment Opportunity for career advancement Work with MNC company Responsibilities Resp"
"2657","merqube","greenhouse","7","Financial Engineer | Index Production Analyst | Index Production Intern | Platform Support Engineer | Quant Analyst (Financial Engineer)","MerQube, established in 2019 by executives from globally recognized financial and technology firms, is at the forefront of disrupting the Index creation and systematic investing landscapes. Utilizing state-of-the-art technology and a cloud-based architecture, MerQube empowers clients to bring innovative ideas to market efficiently. As a Financial Engineer at MerQube, you will be part of a dynamic "
"2658","metalab","greenhouse","7","Brand Director | Design Director | Design Lead | Executive Design Director (Brand & Product) | Principal Brand Designer","We are open to candidates based in the Americas.&nbsp; We believe magic happens when thoughtful collaboration and unparalleled expertise come together to turn great ideas into great products. Design Leads at Metalab play a direct role in that magic. They steer projects in the right direction by leading the day-to-day work internally and managing clients' expectations, while also getting into the f"
"2659","metrea","linkedin","7","Air Refueling Operator | Site Operations Manager | Mission System Technician | Material and Logistics Control Specialist | Assistant Site Operations Manager","Position Summary The Logistics Manager will be responsible for improving and maintaining all aspects of our logistical operations, including the management of purchasing, inventory, shipping and receiving. The role is critical for the support of material readiness, inventory and accountability of all corporate materials, aviation parts, Ground Support Equipment (GSE), tools and commercial products"
"2660","mhg-desaru-hotel-sdn-bhd","jobstreet","7","Sales Manager - Based in KL (Mandarin Speaking) | IT Manager | Assistant Executive Housekeeper | Chief Steward | E- Commerce Manager - Based in KLSO or Bangkok","[Category: Healthcare & Medical / Natural Therapies & Alternative Medicine] Spa Therapist Desaru, 82200 Bandar Penawar, Johor, Malaysia Full-time Company Location: Anantara Desaru Coast Resort & Villas Company Description The driving force behind a vibrant network of spas, MSpa International develops and manages unique spa concepts tailored for the Anantara Spa, AVANISPA, Mandara Spa, Aequalis and"
"2661","michael-foods","linkedin","7","On The Job Trainer | Quality Assurance Tech | Poultry Care Tech (Husker Pride) | Production Supervisor - Afternoons/Evenings | LX Box Operator 1","Business Unit Overview Michael Foods, Inc. is a leader in the food processing and distribution industry with business in egg products, refrigerated grocery and potato products. We offer exciting job possibilities throughout our organization where you can enhance your career, sharpen your talents and make an impact. Join our company and be part of an innovative team that’s First in Food. Location D"
"2662","mightynetworks","greenhouse","7","Community Strategist | Customer Success Manager | Paid Media Manager | Recruiting Coordinator | Sales Operations Specialist","About Mighty Networks Mighty Networks helps people and brands build communities, online courses, memberships, challenges, and events. Through its advanced technology, called people magic, Mighty helps the members of those networks build relationships with each other by surfacing the most relevant and interesting connections.&nbsp; Because of this novel approach and member-centered experience, Migh"
"2663","milestone-technologies-inc","linkedin","7","Training Program Manager | Database Support Analyst | Recruitment Coordinator (Contract) | Implementation Project Manager | DEI Program Manager","Training Program ManagerLocation: Mountain View; CA (HYBRID)Duration: 5-6 Months Overview:Training Program Manager, you manage the training and knowledge program for agents, by providing learner-centric training strategies. You will analyze trends and future launches to anticipate training needs and advocate the continual improvement of the agent training experience. Working with our cross-functio"
"2664","millervein","greenhouse","7","Certified Medical Assistant | Future Positions | Human Resource Manager | Medical Technician | Physician","Do you love to help people?&nbsp;Do you want to be a part of something bigger&nbsp;than yourself?&nbsp;Do you wish your voice&nbsp;was&nbsp;heard at work?&nbsp; &nbsp; If you answered yes to these questions, consider a career at Miller Vein. Position Summary We are seeking a motivated, compassionate, and patient-focused Vein Specialist Physician to join our growing team. This position offers the o"
"2665","milliporesigma","linkedin","7","Global Automation Lead | Senior Process and Technology Project Manager, Biologics | Senior Consultant Validation Service | Associate Inhouse Consultant - Global Graduate Program, US Based (Greater Boston | Lead Mechanical Engineer","ResponsibilitiesAs Corporate Counsel in the Life Science legal department, you will serve as a valued business partner to a range of groups within the Science and Lab Solutions business of MilliporeSigma, which offers a broad portfolio of scientific products and tools for customers across academia, pharma, industrial, testing, and diagnostics, including its North America commercial and business de"
"2666","mindvalley","ashby","7","AI, Innovation & Growth Associate (Working directly with Vishen Lakhiani) | Social Media Content Producer | Senior Social Media Specialist | Host - Academy Programs (Contractor Role) | Media Buyer","About the Role: As a Media Buyer at Mindvalley, you’ll drive the planning, execution, and optimization of digital advertising campaigns that fuel our global growth. You’ll own campaign performance, leverage AI-driven solutions, and collaborate closely with creative and funnel teams to deliver high-impact results across multiple platforms. What you’ll do: Launch, manage, and scale paid social campa"
"2667","minnesota-pollution-control-agency","linkedin","7","We Are Water MN Coordinator - State Prog Admin Prin (75849) | Community Affairs Coordinator - Office & Admin Specialist Prin (75870) | Mobile Source Emission Reduction Specialist - State Prog Admin (75554) | Remediation Project Coordinator - Environmental Specialist 4 (75530) | Water Quality Permit Supervisor - Pollution Cont Spec Prin (75872)","Working Title: Management Analyst 3 Job Class: Management Analyst 3 Agency: Pollution Control Agency Who May Apply: Open to all qualified job seekers Date Posted: 04/16/2024 Closing Date: 05/06/2024 Hiring Agency/Seniority Unit: Pollution Control Agency / Pollution Control-MAPE Division/Unit: Operations / Business Solutions Function Unit Work Shift/Work Hours: Day Shift Days of Work: Monday - Frid"
"2668","missiongraduates","lever","7","After School Program Teacher (K-5th) | After School Program Teacher (Upper Grades) | Bilingual After School Program Teacher | College Connect: Math Tutors | EDP/ Beacon In Person Volunteering:","Mission Graduates increases the number of K-12 students in San Francisco's Mission District who are prepared for and complete a college education. We work towards fulfilling our mission through a wide range of after-school support services that serve over 1,500 children, youth and families each year. Our vision is to transform the culture of our neighborhood so that college becomes the expectation"
"2669","mistplay","lever","7","Legal Operations Associate // Coordonnateur.trice aux opérations juridiques | Senior Accountant (CPA Required) | Senior Counsel, APAC | Senior Product Designer II | Staff/Principal Engineer, Data Platform","Mistplay is the #1 loyalty app for mobile gamers. Our community of millions of engaged mobile gamers come to Mistplay to discover new games to play and earn rewards. Gamers are rewarded for their time and money spent within the games and can redeem those rewards for gift cards. Mistplay is on a mission to be the best way to play mobile games for everyone everywhere! Download Mistplay on the Google"
"2670","mitsubishi-motors-malaysia-sdn-bhd","jobstreet","7","EXECUTIVE / SNR EXECUTIVE – LOCALIZATION | REGIONAL SALES EXECUTIVE | ASSISTANT MANAGER / MANAGER – ACCESSORIES PLANNING | MANAGER – PRODUCT PLANNING | SENIOR EXECUTIVE – DEVELOPER, BUSINESS INFORMATION & TECHNOLOGY","[Category: Trades & Services / Automotive Trades] This position bears responsibility towards the portfolio(s) and performance(s) of parts stockists, product and business development, and supply chain management of critical products. Responsibilities: To manage stockists’ business. To manage demanding products’ supply chain end-to-end (from purchasing to distribution). To manage development of new "
"2671","mj-department-stores-sdn-bhd","jobstreet","7","Senior Accounts Executive | 'e-Commerce Manager | Leasing Cum Fit Out Manager | Account Executive | Marketing Manager","[Category: Marketing & Communications / Management] Support the marketing leadership team through the organization and administrative support for various projects. Maintain strong communication between marketing executives and internal and external stakeholders. Coordinate employee meetings and communications for the marketing department. Manage the new loyalty card system. Collecting and analyzin"
"2672","mlabs-systems-bhd","jobstreet","7","Management Trainee Program | Corporate Strategy, Assistant Manager | Senior Executive, Sustainability Engagement | Senior Account Executive | Inside Sales Intern","[Category: Education & Training / Workplace Training & Assessment] Primary roles Create engaging social media campaigns and contents to drive engagement across online platforms , including Facebook, Instagram, Linkedin Create artwork for social media, newsletter, etc. Create video contents for digital marketing channels. Research and suggest content topics (blog article, video) Assist with digital"
"2673","modernfi","ashby","7","Regional Director | Manager, Strategic Client Solutions | Forward Deployed Engineer | Software Engineer | Business Development Representative","The Opportunity As a Regional Director at ModernFi, you will work directly with the leadership team to grow and support our bank and credit union clients. You will play a crucial role in ensuring client satisfaction, driving product adoption, and fostering long-term relationships with our clients. Your efforts will help banks and credit unions better serve their communities, contributing to the fi"
"2674","moego","ashby","7","RevOps Manager | Account Executive | Head of Partnerships and Customer Marketing | Growth Marketing Specialist - Content | Inbound Sales & Onboarding Manager","Location: Remote (Canada) Department: Revenue Operations Reports to: GM - Revenue About MoeGo 🐾 MoeGo is on a mission to transform the future of pet care business, from small-business groomers to franchise doggie hotels. The dedicated entrepreneurs behind these businesses keep our beloved pets happy and healthy—the majority of them are first-time business owners, and more than 80% are women. They "
"2675","moltonbrown","greenhouse","7","Assistant Store Manager | Legal and Governance Senior Manager | Part Time Sales Consultant (8, 20 and 30 hour contracts available) | Part Time Sales Consultant (8 hours a week Fixed Term contract until 31st August | Sales consultant","Born on South Molton Street, London in 1971, Molton Brown is an icon of uniquely British style. Today, Molton Brown is one of the leading global brands in Kao´s global cosmetics portfolio. Growing from small-scale artisans into the international fragrance brand it is today, its pioneering presence is felt in our stores and websites, travel retail, luxury department stores and the most esteemed hot"
"2676","moonshot-ai","ashby","7","Senior Software Engineer | Senior Account Executive | Business Development Representative (BDR) | Sr. Conversion Rate Optimization Strategist | Associate Conversion Rate Optimization Strategist","Why Moonshot AI? Imagine websites that rebuild themselves on autopilot to sell more, convert better, and grow faster. At Moonshot AI , we’re making that happen — merging generative AI, large-scale data pipelines, and experimentation into a self-evolving web. We’re a well-funded, very early-stage startup with a massive vision. Joining now means you’re not just an employee — you’re helping set the t"
"2677","movement-search-delivery","linkedin","7","Account Manager | Quality Engineer | Environment, Health and Safety Manager | Senior Director Financial Planning Analysis | Plant Controller","Job Responsibilities:Understand shipping and receiving processes and proceduresDirect, supervise, and train warehouse supervisors and associates in safety, quality, and shipping/receiving methodsUnderstand, maintain and enforce FIFO throughout all material / finished goods storage areas. Perform timely and accurate SAP transactions to facilitate shipping and receiving activities are performed and "
"2678","moversshakers","greenhouse","7","Creative Director | Freelance Senior Account Manager (NYC) | Freelance Social Content Creator | Project Manager, New Business | Resource Manager (Temporary)","THE ROLE We’re looking for a culturally-obsessed, social-first Creative Director to lead bold ideas that earn attention, drive conversation, and shape what brands look and feel like online. We want self-starters, makers, tastemakers, and creative visionaries who thrive at the intersection of storytelling, internet culture, entertainment, and innovation. This role is for someone who deeply understa"
"2679","myfundaction","jobstreet","7","HR Executive (L&D and Recruitment) | KOL Specialist | Content Writer | Head of Social Media Unit | Creative Copywriter","[Category: Sales / Sales Representatives/Consultants] Job Responsibilities : Develop and implement sales and marketing strategies to promote the company's products Identify and cultivate relationships with potential clients, distributors, and partners globally to expand the company's presence and market share. Conduct market research to identify possibilities and evaluate customer needs, emerging "
"2680","mytech-assembly-sdn-bhd","jobstreet","7","Finance Clerk | Production Supervisor | Technician (Tooling / Technical) | Purchasing Executive | HR Director","[Category: Accounting / Cost Accounting] At Mybrush Group of Companies, we are passionate about continuously developing and delivering significant technologies in injection molding and assembly. We are seeking a highly motivated and versatile Costing Executive to join our team. As an Costing Executive your primary responsibilities will include: Job Responsibilities: Conduct cost analysis, target c"
"2681","national-grid","linkedin","7","Engineer, Electricity Network Control Engineering | Senior Engineer, Gas Planning and Design Engineering | Customer Service Representative Gas | Real Estate Relationship Manager | Supervisor, Customer Meter Services","National Grid is seeking an experienced Real Estate and Workplace Strategy Manager that can be located out of Downstate, NY (Brooklyn, Hicksville) or Upstate, NY (Albany, Syracuse, NY). MUST BE ABLE TO RESIDE IN NY! Every day we deliver safe and secure energy to homes, communities, and businesses. We are there when people need us the most. We connect people to the energy they need for the lives th"
"2682","nationwide","linkedin","7","Sr. Engineer, Software Engineer (ERisk Services - Flanders, NJ) | Financial Services Representative | Financial Services Analyst | Actuarial Analyst - Pet Pricing - Remote | Underwriter, Brokerage Management Liability - E&S/Specialty (NYC office)","Are you passionate about being part of a team that delivers extraordinary care to help individuals and businesses prepare for and protect their retirement? If so, then Nationwide Financial could be the place for you! At Nationwide®, “on your side” goes beyond just words. Our customers are at the center of everything we do and we’re looking for associates who are passionate about delivering extraor"
"2683","naztec-international-group","linkedin","7","AI/ML Architect- Need on W2 or 1099 | Technical Project Manager- Need on W2 or 1099 | .NET Developer- Need on W2 or 1099 | Appian Architect- Need on W2 or 1099 | IT Product Owner- Need on W2 or 1099","POSITION Workday Analyst- Need on W2 or 1099LOCATION Remote REQUIRED SKILLS • 5+ years experience with Workday• EIBs• Strong in HCM, Payroll, Benefits Thanks & Regards,Parvesh KumarSr Account Coordinator263 N Jog Road, West Palm Beach, FL 33413 USAOffice: (561) 473-0873 Fax: +1-866-434-6471 parvesh@naztecgroup.com | www.naztecgroup.com"
"2684","ncr-atleos","linkedin","7","Workday Senior Analyst, Talent & Compensation | IBG Direct Sales Manager | Services Marketing Manager | Cash Reconciliation Analyst | Chargeback Associate","About NCR Atleos NCR Atleos, headquartered in Atlanta, is a leader in expanding financial access. Our dedicated 20,000 employees optimize the branch, improve operational efficiency and maximize self-service availability for financial institutions and retailers across the globe. Chargeback Analyst Location: Frisco, TX The Chargeback Analysts I is responsible for handling incoming chargebacks, revie"
"2685","nebraska-furniture-mart","linkedin","7","Bilingual Sales Representative | Building Maintenance Tech II - Grandscape Facilities | Delivery Coordinator | Senior Network Security Engineer (Vulnerability Management) | Network Engineer II - IT Technical Infrastructure (Remote)","At Nebraska Furniture Mart (NFM), we’ve been hiring friends since 1937—people who share our passion for helping customers feel right at home. If you share our vision, we invite you to be one of us! People love working here! Named one of Furniture Today's Best places to work, and here are a few reasons why: A FUN, stable work environment, with no lay-offs in our history. A safe place to work and sh"
"2686","nes-fircroft","linkedin","7","Capital Project Manager | Maintenance Planner | Abandonment Engineer | Financial Analyst | Sr. Recruitment Consultant","[Category: Human Resources & Recruitment / Recruitment - Agency] Join the world's leading engineering staffing business! It’s an exciting time to join NES Fircroft. We stood strong during exceptionally challenging economic times and managed to strengthen and grow in a marketplace that was shrinking and challenging many of our competitors. In just 10 years we’ve more than doubled our international "
"2687","nestl-nespresso-sa","linkedin","7","Sr Coordinator, Import/Export Administration | Retail Store Assistant Manager | Retail Sales Associate | Sr. Field Technician | Senior Demand Planner","At Nespresso, we place people and specialty coffee at the heart of what we do. As part of our team, you'll be empowered to inspire, care, act, and innovate to reach your full potential and reimagine what coffee can be. As a certified B Corporation, we're committed to driving our triple bottom line – People, Profit, and Planet – by delivering an exceptional coffee experience that elevates our commu"
"2688","neumeric-technologies-corp","linkedin","7","Remote - IoT Developer | Android Reverse Engineer | Snowflake Developer | Linux System Administrator -W2 Contract | .Net Full-stack Developer - Blazor - Mainframe - WinForms W2 Contract","Job DescriptionWe are seeking a talented Firmware Engineer with 3-5 years of experience to join our dynamic team. As a Firmware Engineer you will play a key role in the design, development, and optimization of firmware for devices and systems. You will work closely with cross-functional teams to implement embedded software solutions, ensuring reliability, scalability, and performance in a variety "
"2689","neuroscale","ashby","7","Founding Software Engineer • Typescript | Director of Strategic Partnerships & Alliances | Founding Data Engineer • PG/Opensearch | Technical Customer Success Manager | Founding Staff Software Engineer • Python/FastAPI","About Neuroscale Neuroscale is on a mission to transform hiring into a science. Our vision is to build the most intelligent recruiting platform in the world, where sourcing, screening, outreach, vetting, and hiring for the most ambitious companies on earth happen in one unified system, powered by AI that actually understands hiring. We built Arbi, the first end-to-end AI recruiting platform that c"
"2690","new-millenium-consulting","linkedin","7","NMC_000213 - Jira Administrator (W2 only) | NMC_000217 - Sales Analyst (W2 Only) | 000198 - W2 Only - Data Engineer (Python, React, Hadoop & Cloud) | NMC_000198 - W2 - Data Engineer (React, Python, Hadoop, Cloud)) | NMC_000189 - Manager - Direct-View LED / Digital Signage & AV","One of our Fortune 100 clients in Plano, is urgently looking for a Sales Analyst Title: Sales AnalystDuration: 12 monthsLocation: Plano, TXHourly: $50 per hour (W2) Scope:The Sales Analyst will provide sales and account management support for the NR Channel Sales team. They will report to the Sr. Director of Channel Sales and be responsible for supporting a $5Bn business. The candidate is responsi"
"2691","new-york-power-authority","linkedin","7","Part time Senior Tour Guide | Associate BPAC Analyst | Project Engineer I - e-Mobility | Provisional Project Engineer II (Waterway Infrastructure) | Treasury Analyst I","Summary Conducts NYPA’s financial and accounting operations. Prepares, collects, and interprets financial information. Prepares budgets, reports, forecasts, and statutory returns. Conducts financial analyses of proposals, investments, and fund sources. Manages the organization's taxation affairs, manages cost accounting systems and cash flow. Controls treasury and ensures compliance with regulator"
"2692","nexus","greenhouse","7","Customer Service Representative | Pro Camera Support | Sales Executive - Contact Center / BPO Services | Technical Customer Service - On-site | Technical Support Representative French","&nbsp; Sales Account Executive - BPO Services &nbsp; About Us CGS is a leading Global Business Process Outsourcing (BPO) provider specializing in delivering exceptional services to the banking, finance, healthcare, and customer care sectors across US, LATAM and EMEA markets. Our commitment to excellence and innovation has established us as a trusted partner for organizations seeking to optimize th"
"2693","nexus-clinic","jobstreet","7","Finance Reporting Manager | UI/UX Designer | Accounts Payable Executive | Technical Operations Executive | Partnerships Executive","[Category: Information & Communication Technology / Business/Systems Analysts] Business Analyst Tenure: Full Time Position Responsible for bridging the gap between IT and the business using data analytics to assess processes, determine requirements and deliver data-driven recommendations and reports to executives and stakeholders. ​​ Responsibilities: Interpretation and analysis of data to derive "
"2694","nexus-wise-sdn-bhd","jobstreet","7","Supply Chain Senior Executive | INTERNSHIP FOR PROCUREMENT | INTERNSHIP FOR HUMAN RESOURCE & ADMINISTRATION | Production Assistant | Production and Maintenance Supervisor","[Category: Manufacturing, Transport & Logistics / Machine Operators] Minimum Qualification: Bachelor of Science or/and above in Phytochemistry, Chemistry Biochemistry, etc. Years of Experience: Preferably with experience in the herbal powder and extracts production. Knowledge: Natural product extraction technology, plant phytochemistry, GMP/ HACCP. Skills: Good oral and written communication skill"
"2695","noctrixhealth","greenhouse","7","Community & Events Manager | Principal Electrical Engineer | Sales Support Representative (Temp-to-Hire) | Senior Digital Content & Growth Marketing Manager | Senior Manufacturing & Supply Chain Engineer","Noctrix&nbsp;Health is redefining the treatment of chronic neurological disorders with clinically&nbsp;validated&nbsp;therapeutic wearables. Our team of medical device specialists, neuroscientists, and consumer electronics engineers is dedicated to delivering prescription-grade therapy with an&nbsp; outstanding user experience. We have pioneered the world’s first drug-free wearable therapy, clinic"
"2696","northbeam","greenhouse","7","Senior Designer, Marketing Brand and Creative | Senior Fullstack Engineer (TypeScript) | Senior Support Engineer | Senior Video and Multimedia Designer (Marketing Brand & Creatives) | Staff Data Scientist","About Northbeam Northbeam is building the world's most advanced marketing intelligence platform, providing top eCommerce brands a unified view of their business data through powerful attribution modeling and customizable dashboards. Our technology helps customers accurately track ad spend, understand the full customer journey, and drive profitable growth. We're experiencing rapid growth, have stro"
"2697","novanta-inc","linkedin","7","IT Operations Manager | Accounts Payable & Receivable Specialist (Contractor) | Vice President of Manufacturing Operations | Manufacturing Controller | Facilities Technician","Build a career powered by innovations that matter! At Novanta, our innovations power technology products that are transforming healthcare and advanced manufacturing—improving productivity, enhancing people’s lives and redefining what’s possible. We create for our global customers engineered components and sub-systems that deliver extreme precision and performance for a range of mission-critical ap"
"2698","noventiq","jobstreet","7","Microsoft Cloud Presales (SMB) | Delivery Coordinator | Junior Delivery Engineer | Project Management Intern | Global Services Solution Sales","[Category: Administration & Office Support / Administrative Assistants] Description Noventiq is hiring! Noventiq’s story is one of change. We grew, expanded, and adapted, learning more at each step. Now effecting change is at the heart of everything we do. And that doesn't just apply to our customers, it’s how we feel about everyone who works with us. Noventiq (the brand name of Cyprus-registered "
"2699","now-cfo","linkedin","7","Business Development Representative | Sales Development Representative | Staff Accountant - Placement | Controller | Controller - Consulting","Position: Controller Location: Salt Lake City- Onsite Hours: Monday- Friday 7:30am-4:00pm Join a pioneering team that’s shaping the future of industrial manufacturing! We’re seeking a skilled Controller to oversee financial operations and contribute to our client's legacy of over a century in delivering high-performance cooling lubricants and cutting-edge machining solutions. With a commitment to "
"2700","nr-consulting","linkedin","7","SAP FICO – AMS Consultant | Windchill architect | Research Assistant | Technical Recruiter | Talent Acquisition Specialist","Company DescriptionNR Consulting is a rapidly growing Global IT & Workforce Solutions Company with a consistent growth rate of 100% YoY for the past 5 years. We specialize in providing unmatched IT & Workforce Solutions to our clients by understanding their business needs and offering tailored services. Our focus on specialization allows us to deliver the fastest solutions and access to top techno"
"2701","o-connor-s-engineering-sdn-bhd","jobstreet","7","Service Engineer | Internship (Project Engineer / Support Engineer) - based in PJ | Assistant Technical Support Engineer - based in Kuching & PJ | Project Engineer (Radio Communication) - based in PJ | Branch Admin Executive","[Category: Engineering / Project Management] Project Engineer (RC dept. - based in PJ) Responsibilities: Plan, design, execute (including contract & project management) install, testing and commissioning of telecommunication project infrastructure projects. At least two or three years project management and related working experience in Telecom Industry (RF radio). Requirements: Degree/Diploma in "
"2702","o-p-e-n","lever","7","Ambassador | Copywriter | Events Crew - Off-site | Studio Crew (Part-Time) | Studio Crew (Seasonal)","ABOUT OPEN Be present, together. Our mission is three simple words. Open is a modern studio designing a new way to practice wellbeing. We combine our hybrid methodology with a social and engaging platform to make mindfulness achievable for all. We engage the senses with music, sound, breath, and movement to create inspiring and meaningful shared experiences on and offline. We are design-oriented, "
"2703","obsidiantherapeutics","greenhouse","7","Associate Director, Data Management | Associate Director, IT Operations - Digital Solutions and Technology | Associate Scientist – Viral Vector Analytical Development (Contractor) | Director, Cell Orchestration and Logistics | General Interest Application - Obsidian Talent Community","About Us … Obsidian Therapeutics is pioneering engineered cell and gene therapies to deliver transformative outcomes for patients. Obsidian’s programs apply our cytoDRiVE® technology in Cell and Gene therapy products to control expression of proteins for enhanced therapeutic efficacy and safety. Obsidian’s lead program is currently in clinical development for the treatment of patients with metasta"
"2704","oci","lever","7","Client Partner | Cloud Engineer | Data Engineer | Full Stack Engineer | On Site - St. Louis MO - Senior Software Engineer","We are seeking a highly skilled DevOps Engineer with a deep background in Linux systems administration. This role is a perfect fit for a seasoned sysadmin who is ready to transition into or expand their expertise in a DevOps methodology. You will be crucial in automating our infrastructure, migrating our on-prem Linux environments to the cloud, and building and maintaining development and producti"
"2705","odaseva","lever","7","Business Development Representative - German speaking | Data Engineer | HR Business Partner – EMEA Region | Senior Director, Alliances - London | Senior Technical Architect","Since 2012 Odaseva has helped global enterprises protect and secure their most valuable asset: data. Our platform and tools empower data-driven organizations to combat evolving threats, maintain operational integrity, and comply with data regulations. Our products include Backup and Restore, Archiving, Data Privacy solutions and much more. We’re a fast-growing scale-up with offices in San Francisc"
"2706","oliver-james","linkedin","7","CFO - Insurance MGU/MGA - Remote | Chief of Staff, Supporting CFO - Insurance - Remote Position | Statutory Reporting Manager - Insurance - Blue Book | Controller - Private Credit | Staff Accountant","Job Opportunity: Data Scientist II Our client in the Insurance industry is seeking a talented Data Scientist II to join their Advanced Analytics department. Role & Responsibilities: Develop and implement data analytics strategies to drive business insightsCreate predictive models and algorithms to optimize decision-making processesAnalyze large datasets to identify trends and patterns for actionab"
"2707","olympus-corporation-of-the-americas","linkedin","7","Engineer II | Urology Territory Manager | Security Architecture Lead | Sr. Manager of Global BPO Services - Remote | Executive Director, Global Product Marketing, GI-ET","Working Location: CALIFORNIA, SAN JOSE Workplace Flexibility: Onsite Are you looking for a company that cares about people’s lives and health, including yours? Let’s inspire healthier lives, together. Olympus, a leading medical technology company, has focused on making people’s lives better for over 100 years. Our Purpose is to make people’s lives healthier, safer, and more fulfilling. Our Core Va"
"2708","on-demand-group","linkedin","7","Senior Coldfusion Developer | Fullstack Developer (Local to Minnesota - Hybrid) | Financial Systems Analyst | Cutover and Hypercare Project Manager | Customer Service Assistant","Title: Financial Systems Analyst Duration: 6 months, contract-for-hireLocation: Onsite 3 days/week - Minneapolis, MN PRIMARY PURPOSE OF POSITIONResponsible for the support and testing of the financial and projects modules within the company’s ERP system. Work with the functional end-users and ITS to ensure the company’s policies and procedures are being followed in the use of the financial systems"
"2709","one-only-desaru-coast","jobstreet","7","Server | Agent, Guest Experience | Team Leader - Restaurant | Manager, Marketing Communication (based in Singapore or Malaysia) | Assistant Manager, Guest Relations","[Category: Hospitality & Tourism / Bar & Beverage Staff] Job Summary The position of an Attendant, F&B is dedicated to exceeding expectations of both internal and external guests to ensure the highest level of service is consistently provided. Teamwork is the key to success in providing a warm and personal experience. The Attendant, F&B’s focus will be to provide service to the guest in a timely a"
